# kat:  T=trvalka  G=travina  F=kapradina  C=cibulovina  K=ker  S=strom  J=jehlicnan  U=uzitkovy ker / ovocna drevina
# svetlo: S=slunce  P=polostin  N=stin  (lze kombinovat, napr. SP)
# vyska v metrech, kvet = mesice od-do, barva = hex nebo prazdne
#
# KODY jsou prevzate z tabulky rostlin na Google Drive.
# Kde mela tabulka jeden kod pro vic rostlin, je pridano ctvrte pismeno podle
# kultivaru - stejnym zpusobem, jakym uz to v tabulce je (GerA, SalR, PoA/PoK, HyA/HyB).
#
kod	latin	cesky	kat	svetlo	vyska	kvet	barva	pozn	hustota
Ach	Achillea millefolium 'Desert Eve Cream'	řebříček obecný 'Desert Eve Cream'	T	S	0.3	6-8	#f2ead0		5
AjM	Ajuga reptans 'Midnight Mystery'	zběhovec plazivý 'Midnight Mystery'	T	SP	0.2	6-7	#5b4b8a	purpurové listy	9
Aju	Ajuga reptans 'Feathered Friends Cordial Canary'	zběhovec plazivý 'Cordial Canary'	T	SP	0.2	5-6	#6b7fc7	žlutozelené listy	9
Ame	Aster amellus	hvězdnice chlumní	T	S	0.6	7-9	#8f7fd1		5
Ant	Antennaria dioica	kociánek dvoudomý	T	S	0.2	5-6	#e8b4c8	stříbřité listy	9
Arm	Armeria maritima 'Morning Star White'	trávnička přímořská 'Morning Star White'	T	S	0.2	5-6	#ffffff		9
Art	Artemisia schmidtiana 'Nana'	pelyněk Schmidtův 'Nana'	T	S	0.2	7-9	#d9d9b0	stříbřité listy	7
Asa	Aster novae-angliae	hvězdnice novoanglická	T	S	1.5	8-10	#b06bb0		3
Asb	Aster novi-belgii 'Milka'	hvězdnice novobelgická 'Milka'	T	S	0.8	9-10	#c77fc7		5
Ase	Aster novi-belgii 'Elta'	hvězdnice novobelgická 'Elta'	T	S	1.2	9-10	#9b7fd4		4
Ast	Aster dumosus 'Herbstgruss von Bresserhof'	hvězdnice keříčkovitá 'Herbstgruss v. Bresserhof'	T	SP	0.4	9-10	#e07fb0		7
Ask	Aster ageratoides 'Asran'	hvězdnice 'Asran'	T	SP	0.8	9-10	#a890d0		4
AstD	Astilbe x arendsii 'Diamant'	čechrava arendsova 'Diamant'	T	PN	0.8	6-8	#ffffff		4
Aua	Aubrieta deltoidea 'Axcent Deep Purple'	tařička kosníkovitá 'Axcent Deep Purple'	T	SP	0.1	4-5	#7b3f9e		9
Auh	Aubrieta hybrida 'Hamburger Stadtpark'	tařička zahradní 'Hamburger Stadtpark'	T	S	0.1	4-5	#9b4f9e		9
Aud	Aurinia saxatilis	tařice skalní	T	S	0.25	4-5	#f0c020	skalnička	7
Ane	Anemone hupehensis 'September Charm'	sasanka japonská 'September Charm'	T	PN	0.8	8-10	#e0a0c0		4
